Lemma	Senses	Freq
呼び鈴	2	11
後に	1	1
座り込む	1	1
だけ	2	3
つかまえる	1	1
信じる	2	2
パナマ帽	1	1
匹	1	2
伸ばす	1	1
無論	1	1
妻	1	45
戸口	1	1
有効	1	1
構う	1	1
高い	2	8
女性	1	4
突き刺す	1	1
優先 権	1	1
たとえば	1	3
キャンプ	1	1
入念 に	1	1
暗澹 たり	1	1
辺り	1	2
他 に	1	1
始める	3	9
なんとも	1	1
犬	1	2
余計	1	2
再婚	1	2
前触れ	1	2
ロイロット	1	2
山	2	5
思える	2	7
悲劇	1	4
仲間	1	1
並ぶ	1	1
まばゆい	1	1
そんで	1	1
修理	1	1
詳細	1	1
頭	2	11
下りる	2	3
突き刺さる	1	1
手錠	1	3
調子	2	2
位置	1	1
物思い	1	1
ぐっと	1	1
難しい	2	7
今朝	1	5
全	1	1
巧み	1	1
秘密	2	6
見せる	4	5
逃げる	2	8
わめく	1	1
住居	1	1
父親	1	1
備忘録	1	1
一緒にする	1	1
触る	1	1
一角	1	1
納得がいく	1	1
突き出る	1	1
自白	1	1
意味 が 通じる	1	1
むつまじい	1	2
時刻 表	1	1
方向	2	3
でも	1	2
筆跡	1	1
秒	1	3
わずらわしい	1	1
面	2	2
聞く	4	24
賢明	2	4
それぞれ	1	3
見とおす	1	1
巡回	1	1
手渡す	1	2
かく	2	2
猟犬	1	1
延ばす	1	1
強要	1	1
フロック コート	1	1
二 番目	1	2
感じ	1	1
頃合	1	1
おののく	1	1
神経	1	2
掛け金	1	1
行き先	1	1
冷たい	2	2
私	1	222
現す	1	1
身	1	15
何しろ	1	1
カブ	1	1
今	6	24
ふた	2	14
ささやく	1	2
金色	1	2
びくびく	1	1
両方	1	2
象形 文字	1	1
覆い	1	1
振る	2	3
色々	1	1
評判	1	1
この上ない	1	1
伝える	1	4
鋭い	2	3
遺産	1	1
文	1	2
包み隠す	1	1
針	1	5
死刑	1	2
喉	1	1
あたり	1	5
幸運	1	1
神様	1	2
神秘 的	1	1
名声	1	1
夜明け	1	1
近づく	2	2
帰り	2	2
温和	1	1
痛い	1	1
掛かる	2	2
建物	1	3
作り方	1	1
証拠 と なる	1	1
煙	1	3
火事	1	1
朝	1	12
踊り	1	1
味わう	1	1
管理	1	1
我慢	1	1
あまり	1	1
主人	2	3
棒	1	6
蛇	1	9
切り離す	1	1
あたかも	1	1
声 を 振り絞る	1	1
偽り	1	1
沈む	2	4
野生 の	1	1
ぼく	1	1
冬季	1	1
首	1	3
亡くなる	1	10
唸る	1	1
肘掛け	1	1
こけおどし	1	1
口笛	2	9
足	1	5
仕事	3	11
運命	1	4
熱する	1	1
告発	1	1
ほんの	1	1
蹴子	1	1
限り	2	3
投げ縄	1	1
事柄	1	1
錠	1	1
まとも	1	1
ホームズ 先生	1	1
訪ねる	1	3
震える	1	2
先月	1	1
回る	1	1
起きる	3	8
住む	2	6
小切手	1	1
報い	1	1
気性	1	3
傷つける	1	1
ご覧 に なる	1	2
首を括る	1	1
景色	1	1
有数	1	1
よそ	1	1
台所	1	1
差し込む	1	1
うまく	1	2
呼吸	1	1
その ため に	1	1
扱う	1	1
相対的	1	1
御者	2	5
噛む	1	3
やかん	1	1
物置	1	4
柄	1	1
石積	1	1
仰る	1	1
薬莢	1	1
おば	1	2
悲報	1	1
風	3	7
ご覧	1	2
監視	1	1
蟻	1	1
微笑む	1	3
眺望	1	1
傷	2	2
引き伸ばす	1	1
寄る	1	2
牙	1	1
手間取る	1	1
様相	1	1
過ごす	1	5
株式	1	1
盗み	1	1
